company_id,year,amount
1,2002,0
2,2002,0
3,2002,275000
4,2002,35000
5,2002,160000
6,2002,176000
7,2002,25000
8,2002,550000
9,2002,550000
10,2002,244189
11,2002,675000
12,2002,0
13,2002,83000
14,2002,45000
15,2002,0
16,2002,12700
17,2002,70000
18,2002,0
19,2002,342000
20,2002,157000
21,2002,0
22,2002,0
23,2002,49000
24,2002,0
1,2007,10000
2,2007,37000
3,2007,320000
4,2007,95000
5,2007,230000
6,2007,305000
7,2007,53000
8,2007,810000
9,2007,805000
10,2007,255000
11,2007,1000000
12,2007,68000
13,2007,276000
14,2007,67000
15,2007,0
16,2007,12000
17,2007,285000
18,2007,140000
19,2007,630000
20,2007,220000
21,2007,0
22,2007,20500
23,2007,130000
24,2007,186000
1,2008,16000
2,2008,52535
3,2008,330880
4,2008,130000
5,2008,240000
6,2008,315370
7,2008,57000
8,2008,857540
9,2008,832370
10,2008,293670
11,2008,1034000
12,2008,75000
13,2008,285384
14,2008,67000
15,2008,51000
16,2008,45000
17,2008,294690
18,2008,144760
19,2008,651420
20,2008,292480
21,2008,0
22,2008,26500
23,2008,134420
24,2008,186000
1,2009,5000
2,2009,50000
3,2009,320000
4,2009,104000
5,2009,230000
6,2009,288000
7,2009,40000
8,2009,915000
9,2009,870000
10,2009,288000
11,2009,1095000
12,2009,60000
13,2009,260000
14,2009,53600
15,2009,70000
16,2009,40000
17,2009,288000
18,2009,130000
19,2009,680000
20,2009,288000
21,2009,0
22,2009,22500
23,2009,121000
24,2009,150000
1,2010,5000
2,2010,45000
3,2010,250000
4,2010,95000
5,2010,200000
6,2010,150000
7,2010,35000
8,2010,840000
9,2010,785000
10,2010,250000
11,2010,990000
12,2010,55000
13,2010,220000
14,2010,50000
15,2010,65000
16,2010,35000
17,2010,250000
18,2010,85000
19,2010,615000
20,2010,220000
21,2010,0
22,2010,20000
23,2010,100000
24,2010,140000
1,2011,5792
2,2011,48000
3,2011,240000
4,2011,92000
5,2011,180000
6,2011,150000
7,2011,15000
8,2011,840000
9,2011,785000
10,2011,240000
11,2011,1000000
12,2011,50000
13,2011,209000
14,2011,50000
15,2011,65000
16,2011,35000
17,2011,245000
18,2011,80000
19,2011,584000
20,2011,208000
21,2011,0
22,2011,15000
23,2011,100000
24,2011,135000
1,2012,5500
2,2012,48000
3,2012,210000
4,2012,0
5,2012,160000
6,2012,150000
7,2012,13000
8,2012,820000
9,2012,766000
10,2012,240000
11,2012,976000
12,2012,0
13,2012,200000
14,2012,43000
15,2012,0
16,2012,35000
17,2012,230000
18,2012,40000
19,2012,570000
20,2012,160000
21,2012,20000
22,2012,14000
23,2012,40000
24,2012,125000
